entry_name	entry	spec	variable	SMD_before	SMD_after
lower	3.75	SOFA_D3	center=Centre 29	0.0423524206727058	0.0128989197673815
lower	3.75	SOFA_D3	center=Centre 30	-0.0364439762518949	0.0136706916971335
lower	3.75	SOFA_D3	RNA_D3_available	0.530603646655387	0.44186827574991
upper	4.25	SOFA_D3	age_z	0.047545432638351	0.0175979267540286
upper	4.25	SOFA_D3	sex=0	-0.0386806521415991	-0.00918057749048351
upper	4.25	SOFA_D3	sex=1	0.0386806521415989	0.0091805774904834
upper	4.25	SOFA_D3	SOFA_z	0.0154294559445194	0.000547800132056212
upper	4.25	SOFA_D3	log2_lac_z	0.0604785838759077	0.010106028210832
upper	4.25	SOFA_D3	log2_inr_z	0.0883035435832812	0.0591110598013203
upper	4.25	SOFA_D3	log2_ddimer_z	-0.0371287647963449	-0.0261211229077111
upper	4.25	SOFA_D3	infectionSite_SD=Lung/Chest	0.0603487520918672	0.0318921338968611
upper	4.25	SOFA_D3	infectionSite_SD=Urinary	-0.0367740200339473	-0.0404983542539902
upper	4.25	SOFA_D3	infectionSite_SD=SoftTissue	-0.03562904200715	-0.0154584284611792
upper	4.25	SOFA_D3	infectionSite_SD=Abdomen	-0.00388956180155798	0.000115193040715766
upper	4.25	SOFA_D3	infectionSite_SD=Biliary/Liver	-0.0225845943457366	0.0119273141558971
upper	4.25	SOFA_D3	infectionSite_SD=Others/Unknown	0.00410438129815693	-0.00331440926999384
upper	4.25	SOFA_D3	center=Centre 01	-0.0163475491914997	-0.0162193042141521
upper	4.25	SOFA_D3	center=Centre 02	0.0298516749861506	0.0093232537348894
upper	4.25	SOFA_D3	center=Centre 03	0.0366104035859039	0.0114313520628804
upper	4.25	SOFA_D3	center=Centre 05	-0.0446298268303618	0.00489356436511477
upper	4.25	SOFA_D3	center=Centre 06	0.0210797338870439	0.0065852022431156
upper	4.25	SOFA_D3	center=Centre 07	-0.290042679883213	-0.166179437446501
upper	4.25	SOFA_D3	center=Centre 08	0.0423316966822672	0.0132145542731852
upper	4.25	SOFA_D3	center=Centre 09	-0.0278754371225123	0.0630918918992811
upper	4.25	SOFA_D3	center=Centre 10	0.0942081572151159	0.0292965145218667
upper	4.25	SOFA_D3	center=Centre 11	0.0210797338870439	0.0065852022431156
upper	4.25	SOFA_D3	center=Centre 13	0.0298516749861506	0.0093232537348894
upper	4.25	SOFA_D3	center=Centre 14	0.0210412454029532	0.00794857524290468
upper	4.25	SOFA_D3	center=Centre 15	0.129240344179966	0.0548319121846938
upper	4.25	SOFA_D3	center=Centre 16	0.0181001102855676	-0.00646209235035514
upper	4.25	SOFA_D3	center=Centre 17	0.0519875974378265	0.0162208092951938
upper	4.25	SOFA_D3	center=Centre 19	-0.0328779133793129	-0.0516538908657513
upper	4.25	SOFA_D3	center=Centre 20	-0.0163475491914997	0.00967019517102626
upper	4.25	SOFA_D3	center=Centre 21	0.0298516749861506	0.0093232537348894
upper	4.25	SOFA_D3	center=Centre 22	-0.078116590263798	-0.0461372703229606
upper	4.25	SOFA_D3	center=Centre 23	0.0366104035859039	0.0114313520628804
upper	4.25	SOFA_D3	center=Centre 24	-0.0202163590282927	-0.00213034743309664
upper	4.25	SOFA_D3	center=Centre 25	0.0210797338870439	0.0065852022431156
upper	4.25	SOFA_D3	center=Centre 26	0.0639412822989903	0.0482543675387719
upper	4.25	SOFA_D3	center=Centre 27	0.0741343703449962	0.0230960194556006
upper	4.25	SOFA_D3	center=Centre 28	-0.0804225880083308	-0.0539982891787728
upper	4.25	SOFA_D3	center=Centre 29	0.0423316966822672	0.0132145542731852
upper	4.25	SOFA_D3	center=Centre 30	-0.0368099093436772	0.0137472089723568
upper	4.25	SOFA_D3	RNA_D3_available	0.531919273543168	0.44985291306032
