Package	Version	Built
RBGL	1.82.0	4.4.1
rbibutils	2.4	4.4.3
rcmdcheck	1.4.0	4.4.2
RColorBrewer	1.1-3	4.4.0
Rcpp	1.0.13-1	4.4.2
RcppAnnoy	0.0.22	4.4.3
RcppArmadillo	15.0.2-2	4.4.3
RcppEigen	0.3.4.0.2	4.4.2
RcppHNSW	0.6.0	4.4.3
RcppML	0.3.7.1	4.4.3
RcppParallel	5.1.11-1	4.4.3
RcppProgress	0.4.2	4.4.3
RcppTOML	0.2.3	4.4.3
RCurl	1.98-1.18	4.4.3
Rdpack	2.6.4	4.4.3
reactome.db	1.89.0	4.4.2
ReactomePA	1.50.0	4.4.1
readr	2.2.0	4.4.3
readxl	1.4.3	4.4.2
recipes	1.3.1	4.4.3
reformulas	0.4.2	4.4.3
registry	0.5-1	4.4.0
regplot	1.1	4.4.3
rematch	2.0.0	4.4.2
rematch2	2.1.2	4.4.2
remotes	2.5.0	4.4.2
rentrez	1.2.4	4.4.3
renv	1.2.3	4.4.2
reprex	2.1.1	4.4.2
reshape	0.8.10	4.4.3
reshape2	1.4.4	4.4.2
ResourceSelection	0.3-6	4.4.3
reticulate	1.44.0	4.4.2
rhdf5	2.50.2	4.4.2
rhdf5filters	1.18.1	4.4.3
Rhdf5lib	1.28.0	4.4.1
RhpcBLASctl	0.23-42	4.4.0
Rhtslib	3.2.0	4.4.1
riskRegression	2026.03.11	4.4.3
rJava	1.0-11	4.4.0
rjson	0.2.23	4.4.1
rlang	1.3.0	4.4.2
rmarkdown	2.29	4.4.2
rmda	1.6	4.4.3
rmeta	3.0	4.4.0
rms	8.1-0	4.4.3
rngtools	1.5.2	4.4.3
robustbase	0.99-6	4.4.3
ROCR	1.0-11	4.4.3
ROI	1.0-2	4.4.3
ROI.plugin.lpsolve	1.0-2	4.4.3
ropls	1.38.0	4.4.1
roxygen2	7.3.2	4.4.2
rprojroot	2.1.1	4.4.3
rsample	1.3.1	4.4.3
Rsamtools	2.22.0	4.4.1
Rserve	1.8-15	4.4.3
RSpectra	0.16-2	4.4.3
RSQLite	2.4.3	4.4.3
rstatix	0.7.2	4.4.2
rstudioapi	0.17.1	4.4.2
rsvd	1.0.5	4.4.3
rsvg	2.7.0	4.4.3
Rtsne	0.17	4.4.3
RUnit	0.4.33.1	4.4.3
rversions	2.1.2	4.4.2
rvest	1.0.4	4.4.2
s2	1.1.9	4.4.3
S4Arrays	1.6.0	4.4.1
S4Vectors	0.44.0	4.4.1
S7	0.2.0	4.4.3
sandwich	3.1-1	4.4.2
sass	0.4.9	4.4.2
ScaledMatrix	1.14.0	4.4.1
scales	1.4.0	4.4.3
scater	1.34.1	4.4.2
scattermore	1.2	4.4.3
scatterpie	0.2.6	4.4.3
scatterplot3d	0.3-45	4.4.3
scran	1.34.0	4.4.1
scrime	1.3.5	4.4.3
sctransform	0.4.2	4.4.3
